Year,Basin,Streamflow,AMO,SOI,NAO,PDO,WIND_mean,SNOTEL_SWE_mean_0,SNOTEL_SWE_M_0,SNOTEL_SWE_A_0,SNOTEL_PA_M_0,SNOTEL_PA_A_0,SWE/PA,SNOTEL_SWE_mean_1,SNOTEL_SWE_M_1,SNOTEL_SWE_A_1,SNOTEL_PA_M_1,SNOTEL_PA_A_1,SWE/PA,SNOTEL_SWE_mean_2,SNOTEL_SWE_M_2,SNOTEL_SWE_A_2,SNOTEL_PA_M_2,SNOTEL_PA_A_2,SWE/PA,SNOTEL_SWE_mean_3,SNOTEL_SWE_M_3,SNOTEL_SWE_A_3,SNOTEL_PA_M_3,SNOTEL_PA_A_3,SWE/PA,SNOTEL_SWE_mean_4,SNOTEL_SWE_M_4,SNOTEL_SWE_A_4,SNOTEL_PA_M_4,SNOTEL_PA_A_4,SWE/PA,SNOTEL_SWE_mean_5,SNOTEL_SWE_M_5,SNOTEL_SWE_A_5,SNOTEL_PA_M_5,SNOTEL_PA_A_5,SWE/PA,SNOTEL_SWE_mean_6,SNOTEL_SWE_M_6,SNOTEL_SWE_A_6,SNOTEL_PA_M_6,SNOTEL_PA_A_6,SWE/PA,SNOTEL_SWE_mean_7,SNOTEL_SWE_M_7,SNOTEL_SWE_A_7,SNOTEL_PA_M_7,SNOTEL_PA_A_7,SNOTEL_SWE_mean_8,SNOTEL_SWE_M_8,SNOTEL_SWE_A_8,SNOTEL_PA_M_8,SNOTEL_PA_A_8,SPFH_mean,TMP_mean,UGRD_mean,VGRD_mean
1981,Animas_River_09361500,1023.08,-0.101666667,0.241666667,-0.88,0.838333333,2.561421959,7.933333333,1.6,3.9,7.4,12,0.325,9.866666667,6.7,11.2,7.4,12,0.933333333,10.06666667,7.2,10.9,7.9,12,0.908333333,11.8,8.2,11.6,9.5,14,0.828571429,8.333333333,4.7,8.3,6.2,10.1,0.821782178,15.63333333,10.7,16.4,12.1,18.2,0.901098901,6.9,4.5,7.8,5.1,7.9,0.987341772,0,0,0,0,0,0,0,0,0,0,0.003541801,320.911044,2.19227288,1.324696974
1982,Animas_River_09361500,1854.8,-0.237833333,-0.875,1.44,-0.2575,3.783020879,18.8,11.8,17,17.3,23.3,0.729613734,18.7,12.4,17.6,17.6,22.3,0.789237668,19.33333333,14,18.8,17.8,22.6,0.831858407,22.03333333,17,22.8,19.3,25.3,0.901185771,18.06666667,12.9,16.1,16.8,22,0.731818182,29.46666667,24,32.6,24.5,31.5,1.034920635,14.73333333,12.5,15.7,12.5,15.5,1.012903226,0,0,0,0,0,0,0,0,0,0,0.003674097,319.9850186,3.169999903,2.064545371
1983,Animas_River_09361500,2322,-0.09625,-0.758333333,0.47,1.248333333,2.496376254,17.46666667,11.9,15.5,16.3,21,0.738095238,16.23333333,11.8,18.3,12.5,18,1.016666667,17.36666667,13.2,19.3,13.6,18.5,1.043243243,19.3,14.8,20,15.5,22.3,0.896860987,16.43333333,11.5,18.3,13.2,18,1.016666667,25.93333333,17.8,29.3,19.6,28,1.046428571,10.13333333,8.8,11.5,7.2,10.2,1.12745098,0,0,0,0,0,0,0,0,0,0,0.0036825,319.5444114,2.157272686,1.256212148
1984,Animas_River_09361500,2290.9,-0.233416667,0.141666667,0.79,0.603333333,2.380921958,19.6,14.2,13.3,20.3,23.3,0.570815451,23.8,18.5,23,20.5,25.3,0.909090909,20.1,17.8,20,17.3,20.8,0.961538462,18.46666667,15.8,7.7,20.6,25.1,0.306772908,19.46666667,14,18.5,17,20.7,0.893719807,30.8,25.5,30.5,26.2,30.5,1,17.4,14,17.6,14.9,18.6,0.946236559,0,0,0,0,0,0,0,0,0,0,0.003622526,317.5,2.196818092,0.918030305
1985,Animas_River_09361500,2716.75,-0.29275,0.283333333,-1.29,0.026666667,2.874866363,21.56666667,14,17.9,19,26.2,0.683206107,17,11.5,15.3,14.7,19.3,0.792746114,19.63333333,13.4,21.1,15.3,20.3,1.039408867,22.5,16.5,23.5,18.3,24.6,0.955284553,18.86666667,13.4,18.5,16.2,20.7,0.893719807,29.1,22.5,33.1,22.7,30.2,1.09602649,14.2,11,15.1,10.4,14.8,1.02027027,0,0,0,0,0,0,0,0,0,0,0.003608073,318.6306152,2.536969618,1.352272814
1986,Animas_River_09361500,2391.75,-0.3005,-0.083333333,1.28,1.0075,3.346243241,17.3,15,10.5,19.3,21.8,0.481651376,14.6,8.2,11.5,13.3,17.1,0.67251462,16.9,13,16.6,15.8,19.1,0.869109948,18.6,16.3,18.3,17,20.6,0.888349515,15.93333333,12.4,14.4,15.5,18.5,0.778378378,22.56666667,18.2,21.4,20.5,24.8,0.862903226,14,13.3,15.2,12,13.8,1.101449275,0,0,0,0,0,0,0,0,0,0,0.003933421,321.4554776,2.909697099,1.652575753
1987,Animas_River_09361500,2464,0.040666667,-0.933333333,-1.19,1.136666667,1.60816587,19.7,16,18.3,20.1,24,0.7625,17.13333333,12.2,17,16.1,20,0.85,16.43333333,12,15.4,16.3,19,0.810526316,19.93333333,17.1,21.8,18,22.5,0.968888889,16.9,12.8,17,16,19.1,0.890052356,26.23333333,23.1,31.3,22.3,27.8,1.125899281,16.66666667,15,18.6,15.3,18.8,0.989361702,0,0,0,0,0,0,0,0,0,0,0.003603945,320.7354403,1.482575677,0.623030359
1988,Animas_River_09361500,1223.65,-0.031166667,0.816666667,0.12,-0.038333333,2.267514194,12.63333333,6.9,3.5,16.1,17,0.205882353,11.86666667,6.1,8.6,11.4,15.1,0.569536424,10.1,8.7,9.1,9.7,10.9,0.834862385,12.9,10.8,11.3,11.4,14.5,0.779310345,12.8,10,10.2,12.3,15.5,0.658064516,20.9,16.1,21.3,18.1,22.5,0.946666667,10.43333333,9.4,11.1,8.9,10.6,1.047169811,0,0,0,0,0,0,0,0,0,0,0.003462785,318.0824308,1.99272728,1.081969781
1989,Animas_River_09361500,1204.43,-0.109083333,0.708333333,2.21,-0.504166667,3.227008175,13.76666667,15.7,8,17.8,20.6,0.388349515,14.6,14.2,12.5,15.7,18.3,0.683060109,11.6,12.1,14.1,9.4,11.8,1.194915254,17.23333333,18.6,17.6,17.6,20.3,0.866995074,15.2,15.3,16,14.8,17.3,0.924855491,21.16666667,21.8,24.1,20.5,23.6,1.021186441,11.3,9.8,11,11,12.4,0.887096774,0,0,0,0,0,0,0,0,0,0,0.003486368,319.6222923,2.802424344,1.599999861
1990,Animas_River_09361500,1195.83,-0.064666667,-0.116666667,2.48,-0.826666667,2.947879089,8.766666667,2.7,2.8,8.5,12.2,0.229508197,11.36666667,6.5,8.3,9,12.8,0.6484375,9.3,4.6,7.1,6.8,10.5,0.676190476,9.2,4.2,7.2,6.9,10.8,0.666666667,9.866666667,5,7.1,7.6,11,0.645454545,15.76666667,7.3,12.9,12.4,17.8,0.724719101,9,6.6,8.8,6,8.1,1.086419753,0,0,0,0,0,0,0,0,0,0,0.00356085,320.5449663,2.670303345,1.24878788
1991,Animas_River_09361500,1457.08,-0.1585,-0.575,0.95,-0.879166667,3.109104044,16.3,9.5,15.6,13.7,19.8,0.787878788,15.63333333,6.9,13.3,13,19.2,0.692708333,15.06666667,9.7,18.3,11.3,16.5,1.109090909,17.73333333,12.2,20,13.5,19.9,1.005025126,14.93333333,8.1,14.2,11.8,18.4,0.77173913,21.73333333,12.3,22.2,16.6,24.8,0.89516129,12.53333333,10,13.7,9.1,13,1.053846154,0,0,0,0,0,0,0,0,0,0,0.003369501,318.8044212,2.596818057,1.70969703
