Year,Basin,Streamflow,AMO,SOI,NAO,PDO,WIND_mean,SNOTEL_SWE_mean_0,SNOTEL_SWE_M_0,SNOTEL_SWE_A_0,SNOTEL_PA_M_0,SNOTEL_PA_A_0,SWE/PA,SNOTEL_SWE_mean_1,SNOTEL_SWE_M_1,SNOTEL_SWE_A_1,SNOTEL_PA_M_1,SNOTEL_PA_A_1,SWE/PA,SNOTEL_SWE_mean_2,SNOTEL_SWE_M_2,SNOTEL_SWE_A_2,SNOTEL_PA_M_2,SNOTEL_PA_A_2,SWE/PA,SNOTEL_SWE_mean_3,SNOTEL_SWE_M_3,SNOTEL_SWE_A_3,SNOTEL_PA_M_3,SNOTEL_PA_A_3,SWE/PA,SNOTEL_SWE_mean_4,SNOTEL_SWE_M_4,SNOTEL_SWE_A_4,SNOTEL_PA_M_4,SNOTEL_PA_A_4,SNOTEL_SWE_mean_5,SNOTEL_SWE_M_5,SNOTEL_SWE_A_5,SNOTEL_PA_M_5,SNOTEL_PA_A_5,SNOTEL_SWE_mean_6,SNOTEL_SWE_M_6,SNOTEL_SWE_A_6,SNOTEL_PA_M_6,SNOTEL_PA_A_6,SNOTEL_SWE_mean_7,SNOTEL_SWE_M_7,SNOTEL_SWE_A_7,SNOTEL_PA_M_7,SNOTEL_PA_A_7,SNOTEL_SWE_mean_8,SNOTEL_SWE_M_8,SNOTEL_SWE_A_8,SNOTEL_PA_M_8,SNOTEL_PA_A_8,SPFH_mean,TMP_mean,UGRD_mean,VGRD_mean
1981,Crystal_River_09081600,430.45,-0.101666667,0.241666667,-0.88,0.838333333,2.734799589,7.133333333,3,6.7,6,9.5,0.705263158,7.366666667,4.8,7.9,5.5,8.4,0.94047619,10,6.2,10.9,6.9,11.6,0.939655172,13.33333333,7.4,12.6,11.1,15.9,0.79245283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003050433,317.477478,2.455833435,1.203333259
1982,Crystal_River_09081600,803.625,-0.237833333,-0.875,1.44,-0.2575,3.657579597,13.76666667,9.3,12.2,12.6,15.4,0.792207792,17.3,13.1,19.1,13.8,18.8,1.015957447,19.16666667,15.5,19.3,16.3,20.6,0.936893204,21.13333333,12.9,20.3,19.1,24.3,0.835390947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033313,315.5900269,3.123333216,1.903333426
1983,Crystal_River_09081600,980.475,-0.09625,-0.758333333,0.47,1.248333333,2.685467631,9.7,4.2,8.5,7.8,11.9,0.714285714,12.9,10.6,14.5,9.9,13.9,1.043165468,15.66666667,10.8,16.6,11.6,17.6,0.943181818,19.6,16.8,22.6,14.8,20.5,1.102439024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003238167,314.8441772,2.440000057,1.12166667
1984,Crystal_River_09081600,1071.775,-0.233416667,0.141666667,0.79,0.603333333,2.501097746,15.26666667,12.9,14.8,12.9,16,0.925,20.93333333,18.5,22,17.8,21.1,1.042654028,22.06666667,17.3,21.3,19.1,23.6,0.902542373,23.76666667,19.8,26.3,19.1,24.3,1.082304527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003201333,313.772522,2.345833302,0.867499888
1985,Crystal_River_09081600,1029.275,-0.29275,0.283333333,-1.29,0.026666667,2.867104167,12.1,8,10.7,10,14.2,0.753521127,17.1,13.2,19,13.4,18.6,1.021505376,17.4,12.1,17.8,14.1,19.3,0.922279793,22.76666667,17.8,23.8,18.6,24.6,0.967479675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003317267,314.4491577,2.481666565,1.435833335
1986,Crystal_River_09081600,1035.1,-0.3005,-0.083333333,1.28,1.0075,3.447164283,11.13333333,8.9,8.4,11.5,13.6,0.617647059,19.46666667,19.8,23.3,18.1,20,1.165,17.1,16.1,16.5,16.1,19.1,0.863874346,19.2,15.8,14.8,19.3,22.8,0.649122807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003567817,317.2258301,3.044999838,1.615833402
1987,Crystal_River_09081600,640.875,0.040666667,-0.933333333,-1.19,1.136666667,1.825368637,10.36666667,6.7,9,10,12.5,0.72,14,11.8,15.4,12.4,15.1,1.01986755,14.73333333,11.8,15.8,12.9,16.6,0.951807229,15,11,14.2,15.1,17.8,0.797752809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003277317,315.9125366,1.711666822,0.634166658
1988,Crystal_River_09081600,525.625,-0.031166667,0.816666667,0.12,-0.038333333,2.372629098,9.666666667,7,9.2,8.5,11.4,0.807017544,12.46666667,9.5,11.1,11.9,13.7,0.810218978,12.93333333,10.6,13.8,11,14.1,0.978723404,15.36666667,11.6,14.3,14.1,16.8,0.851190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031569,314.9716797,2.155833483,0.990833402
1989,Crystal_River_09081600,558.85,-0.109083333,0.708333333,2.21,-0.504166667,3.057411835,10,8,8.7,9.9,11.7,0.743589744,12.8,11.4,13.1,12.4,14.8,0.885135135,14.36666667,12.9,14.5,13.5,16.1,0.900621118,16.4,13.5,17.8,15.3,19.3,0.922279793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003262433,315.7583313,2.68083334,1.469999909
1990,Crystal_River_09081600,462.4,-0.064666667,-0.116666667,2.48,-0.826666667,2.938214183,10.2,6.1,8.4,8,10.8,0.777777778,8.633333333,5.7,7.3,7.6,9.2,0.793478261,14.6,9.9,13.4,11.4,15.3,0.875816993,11.93333333,7.8,9.8,10.6,14.3,0.685314685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003220533,316.5249939,2.714999914,1.123333454
