Year,Basin,Streamflow,AMO,SOI,NAO,PDO,WIND_mean,SNOTEL_SWE_mean_0,SNOTEL_SWE_M_0,SNOTEL_SWE_A_0,SNOTEL_PA_M_0,SNOTEL_PA_A_0,SWE/PA,SNOTEL_SWE_mean_1,SNOTEL_SWE_M_1,SNOTEL_SWE_A_1,SNOTEL_PA_M_1,SNOTEL_PA_A_1,SWE/PA,SPFH_mean,TMP_mean,UGRD_mean,VGRD_mean
1981,Jemez_River_08324000,69.5,-0.101666667,0.241666667,-0.88,0.838333333,4.451916621,8.866666667,5.4,11,3.2,8.7,1.264367816,9.566666667,4.8,8.7,7.1,12.5,0.696,0.003298569,319.8711984,4.131428582,1.658571516
1982,Jemez_River_08324000,137.275,-0.237833333,-0.875,1.44,-0.2575,5.064715609,9.933333333,8.2,9.9,10.5,12.6,0.785714286,12.33333333,9.6,11.8,12.1,16.1,0.732919255,0.003391814,318.1457171,4.628332955,2.056666783
1983,Jemez_River_08324000,337.75,-0.09625,-0.758333333,0.47,1.248333333,3.618329639,14.2,12.2,15.5,11.6,15.5,1,19.3,14.4,20.5,15.9,22.6,0.907079646,0.003583924,317.351423,3.320475987,1.437619073
1984,Jemez_River_08324000,176.65,-0.233416667,0.141666667,0.79,0.603333333,3.990204263,10.63333333,7.3,7.5,10,13,0.576923077,15.56666667,12,11.3,15.1,18.4,0.614130435,0.003472583,315.5190778,3.759999684,1.335714204
1985,Jemez_River_08324000,394.925,-0.29275,0.283333333,-1.29,0.026666667,4.302739946,16.4,13.1,14.8,14.1,18,0.822222222,17.86666667,10.4,11.4,17.8,22.8,0.5,0.003159429,315.2442801,3.82857132,1.963571412
1986,Jemez_River_08324000,145.7,-0.3005,-0.083333333,1.28,1.0075,4.705134128,8.233333333,6.6,3.8,9.5,11,0.345454545,9.666666667,3.4,3.4,10.4,14.3,0.237762238,0.003582429,318.2283412,4.33738109,1.823571341
1987,Jemez_River_08324000,291.85,0.040666667,-0.933333333,-1.19,1.136666667,3.003169422,15.16666667,15.4,15.9,16,16.8,0.946428571,12.63333333,8.5,10.3,14.1,15.9,0.647798742,0.003456233,317.073591,2.691428593,1.33238084
1988,Jemez_River_08324000,118.475,-0.031166667,0.816666667,0.12,-0.038333333,4.073455591,9.766666667,9.6,6.9,9.6,11.2,0.616071429,13.3,10.7,10.1,13.5,15,0.673333333,0.003200838,316.33381,3.821904591,1.409285545
1989,Jemez_River_08324000,60.6,-0.109083333,0.708333333,2.21,-0.504166667,4.670465448,5.9,8.7,3.1,7.9,9.1,0.340659341,7.133333333,9.8,1.3,10.7,11.8,0.110169492,0.003185522,317.5333426,4.353333337,1.691666739
1990,Jemez_River_08324000,81.75,-0.064666667,-0.116666667,2.48,-0.826666667,4.263846093,7.366666667,5.3,4.3,7.6,9.5,0.452631579,9.266666667,5,5.8,8.6,12.5,0.464,0.003360659,318.7533482,4.039047786,1.366190502
1991,Jemez_River_08324000,172.9,-0.1585,-0.575,0.95,-0.879166667,4.876536324,10.7,8.6,10.6,9.5,13,0.815384615,13.53333333,8.2,13.6,11.8,16.7,0.814371257,0.003098869,317.8423898,4.527618953,1.811428479
1992,Jemez_River_08324000,279.325,-0.245916667,-0.825,1.65,0.76,3.99263647,12.8,10.6,12.6,11.8,15.1,0.834437086,17.8,13.6,17.2,16.2,21.9,0.785388128,0.003366755,318.6678641,3.758333206,1.347619193
1993,Jemez_River_08324000,247.6,-0.237583333,-0.65,0.66,1.043333333,3.841708154,15.23333333,14.2,14.8,16.3,18.4,0.804347826,17.5,15.7,14.5,20.1,22.5,0.644444444,0.003284334,316.570452,3.53928566,1.49404771
1994,Jemez_River_08324000,88,-0.203916667,-0.825,1.33,-0.493333333,4.191038756,9.1,7.3,8,8,11,0.727272727,9.766666667,6.8,5.7,10.5,13.2,0.431818182,0.003338584,318.0392718,3.941428593,1.424761908
1995,Jemez_River_08324000,234.425,0.107833333,-0.016666667,-0.79,0.439166667,4.041831843,13.66666667,11,8.8,14.2,16.2,0.543209877,17.7,9.6,10.3,18.6,22.2,0.463963964,0.003480386,318.8538295,3.646190098,1.74404771
1996,Jemez_River_08324000,18.325,-0.085333333,0.675,-1.08,0.683333333,5.056788133,4.5,4.5,3.1,4.9,6.4,0.484375,3.666666667,2,0.1,5.1,6.8,0.014705882,0.003416962,317.0409459,4.794999804,1.605952399
1997,Jemez_River_08324000,171.9,0.024333333,-0.733333333,0.02,1.316666667,4.476113691,11.46666667,12,5.1,14.8,14.8,0.344594595,14.13333333,13.5,8.7,14.8,17.5,0.497142857,0.003422995,316.695452,4.17571422,1.612142835
1998,Jemez_River_08324000,143.925,0.34475,-0.025,-0.27,-0.478333333,3.65558195,9.466666667,7.5,8.6,8.2,11.9,0.722689076,13.13333333,10.1,10.7,13.1,16.6,0.644578313,0.003546928,316.8890555,3.405238015,1.329523768
1999,Jemez_River_08324000,92.925,0.089916667,0.85,0.57,-1.843333333,4.032355709,8.766666667,3.7,0.1,10.3,12.6,0.007936508,8.2,0,0,9.3,11.3,0,0.00368061,318.1557617,3.580714634,1.854285649
2000,Jemez_River_08324000,57.7,0.000166667,0.85,0.65,-1.125833333,4.455987346,5.366666667,3,4.5,3.8,7.8,0.576923077,7.533333333,2.5,6.9,4.3,10.5,0.657142857,0.00317795,320.9509626,4.175237928,1.556666783
2001,Jemez_River_08324000,143.975,0.090833333,0.258333333,-0.57,-1.134166667,3.595765975,14.33333333,11.9,10.8,14.5,18.1,0.596685083,12.96666667,8.1,8.8,14,16.7,0.526946108,0.003247157,315.6802455,3.269047328,1.497618948
2002,Jemez_River_08324000,19.9,0.03675,-0.325,0.33,-0.439166667,4.73764494,2.833333333,3.5,0,3.8,4.1,0,4.1,4,0,6,6.2,0,0.003166285,317.1840472,4.359285627,1.855238097
2003,Jemez_River_08324000,69.6,0.202666667,-0.091666667,0.31,0.381666667,4.191177678,8.266666667,7,6,9.4,11.3,0.530973451,11.56666667,6.1,7.2,14,17.1,0.421052632,0.003541102,317.5869141,3.877380916,1.591190611
2004,Jemez_River_08324000,108.35,0.177666667,-0.258333333,0.12,-0.224166667,4.031011232,6.233333333,6.8,0.3,7.5,8.8,0.034090909,8.133333333,7.2,2,10.2,11.6,0.172413793,0.003467552,318.5833217,3.718809673,1.555476189
