Year,Basin,Streamflow,AMO,SOI,NAO,PDO,WIND_mean,SNOTEL_SWE_mean_0,SNOTEL_SWE_M_0,SNOTEL_SWE_A_0,SNOTEL_PA_M_0,SNOTEL_PA_A_0,SNOTEL_SWE_mean_1,SNOTEL_SWE_M_1,SNOTEL_SWE_A_1,SNOTEL_PA_M_1,SNOTEL_PA_A_1,SNOTEL_SWE_mean_2,SNOTEL_SWE_M_2,SNOTEL_SWE_A_2,SNOTEL_PA_M_2,SNOTEL_PA_A_2,SNOTEL_SWE_mean_3,SNOTEL_SWE_M_3,SNOTEL_SWE_A_3,SNOTEL_PA_M_3,SNOTEL_PA_A_3,SNOTEL_SWE_mean_4,SNOTEL_SWE_M_4,SNOTEL_SWE_A_4,SNOTEL_PA_M_4,SNOTEL_PA_A_4,PA4-SWE4_Difference,SNOTEL_SWE_mean_5,SNOTEL_SWE_M_5,SNOTEL_SWE_A_5,SNOTEL_PA_M_5,SNOTEL_PA_A_5,SNOTEL_SWE_mean_6,SNOTEL_SWE_M_6,SNOTEL_SWE_A_6,SNOTEL_PA_M_6,SNOTEL_PA_A_6,SNOTEL_SWE_mean_7,SNOTEL_SWE_M_7,SNOTEL_SWE_A_7,SNOTEL_PA_M_7,SNOTEL_PA_A_7,SNOTEL_SWE_mean_8,SNOTEL_SWE_M_8,SNOTEL_SWE_A_8,SNOTEL_PA_M_8,SNOTEL_PA_A_8,SPFH_mean,TMP_mean,UGRD_mean,VGRD_mean
1981,Logan_River_10109000,242.75,-0.101666667,0.241666667,-0.88,0.838333333,1.105600753,21.36666667,16.2,23,18.6,24.1,11.4,7.4,7.7,11.1,14.8,11,7.4,10.9,9.1,12.8,10.46666667,7,9.6,8.4,11.4,16.16666667,10.8,16.1,13.4,18.5,2.4,12.23333333,7.9,12.7,8.8,14.6,10.1,5.6,7.1,10.7,13.7,13.9,8.4,15.3,10.5,15.9,17.9,12.8,20.2,15.3,20.3,0.00377243,328.7610107,0.738999939,0.822333336
1982,Logan_River_10109000,684.825,-0.237833333,-0.875,1.44,-0.2575,2.264065491,51.6,35,53.1,44.2,61.6,34.86666667,19.9,24.8,34.9,47.7,28.5,23.5,30.9,23.6,31,24.53333333,19.5,26,20.8,26.5,39.33333333,27.7,37.7,34.1,42.7,5,32.33333333,23.6,31.7,28.3,36.4,26.36666667,11.1,16.8,27.2,36.9,32.3,25,33.6,26.6,35.7,55.5,41.3,52.8,44.2,58.6,0.004550247,326.6686768,1.492666531,1.70233345
1983,Logan_River_10109000,660.825,-0.09625,-0.758333333,0.47,1.248333333,1.517148254,49.4,36.1,54.1,37,53.6,29.66666667,22.3,25.8,27.9,35.5,16.03333333,13,17.3,12.3,15.5,19.26666667,20,25.1,13.3,17.3,27.96666667,21,30.3,22.3,29.6,0,22.36666667,18.1,24.6,18.5,23.6,20.63333333,15.8,17.8,20.8,26.9,24.26666667,20.6,27.9,18.3,24.1,33.73333333,25.1,36.7,27.9,34.2,0.004287273,325.7030273,0.915666676,1.209666634
1984,Logan_River_10109000,847.3,-0.233416667,0.141666667,0.79,0.603333333,1.530464021,70.83333333,60.6,68.7,70.5,78.6,37.06666667,33.1,34.1,38.8,40.6,26.33333333,24.8,27.4,23.3,25.9,25.16666667,25.5,27.7,22.1,24.3,34.26666667,30.8,34.1,31.5,35.3,1.2,32.03333333,30.6,36.6,27.1,30.5,28.16666667,24.5,25.1,28.2,30.8,34.8,31.8,37.2,28.5,34,42.83333333,40.6,47.3,37.2,44,0.004116257,326.8656982,1.40666666,0.603000021
1985,Logan_River_10109000,461.825,-0.29275,0.283333333,-1.29,0.026666667,1.368096367,38.5,34.1,40.8,36.3,43.3,27.83333333,26.2,30.1,25.1,29,19.83333333,16.6,23,16.6,20.6,22.56666667,21.8,30.4,16.3,21.6,29.63333333,27.1,35.2,24.6,30.4,0,26.13333333,21,29.9,21.8,26.8,20.43333333,16.3,18.8,20.3,23.8,29.16666667,27.6,35.6,23.8,28.6,33.03333333,29.9,38.7,28.4,33.9,0.00443048,324.8906738,0.800666618,1.10933342
1986,Logan_River_10109000,889.825,-0.3005,-0.083333333,1.28,1.0075,1.811525064,59.1,59,60.3,64,71.4,32.4,26.5,24.6,39.9,45.7,27.73333333,29.1,32.6,27.4,29.8,27.13333333,34.6,38.5,21.3,24.3,38.6,38.1,41.3,38.2,43.4,2.1,27.66666667,26.6,22.1,32.8,36.7,25.33333333,18.5,9,33.6,38.6,33.13333333,34,39,29.8,33.8,47.06666667,45.4,53.2,49.1,53.5,0.004637333,328.2946777,1.16566658,1.386666679
1987,Logan_River_10109000,202.675,0.040666667,-0.933333333,-1.19,1.136666667,0.711228192,26.96666667,21.9,26,26.8,30,14.9,10.2,11.6,16,18.7,12.6,9.2,13.3,10.9,14.5,12.06666667,12.2,15.6,9.9,12.6,16.16666667,14.7,17.4,15.5,18.5,1.1,13.13333333,10,13,12,15,11.4,6,9.1,11.6,14.1,16.23333333,14.1,20,13.6,17.3,16.56666667,13.4,16.7,16.1,19.6,0.004362587,326.5909668,0.397666669,0.589666653
1988,Logan_River_10109000,226.625,-0.031166667,0.816666667,0.12,-0.038333333,0.789184501,24.03333333,21.6,21,22.2,24.5,16.1,9.8,11.1,14.9,17.7,15.86666667,13.6,17.2,13.2,15.8,14.63333333,14.7,18.3,10.6,13.2,20.93333333,15.4,20.7,18.1,22.7,2,16.66666667,14.3,16.4,14.7,17.8,11.16666667,8.1,6,11.8,13.7,21.4,20.3,25.6,15.8,19.9,25.7,20.6,26.9,22.9,28.4,0.00424258,326.7396973,0.588333368,0.526000023
1989,Logan_River_10109000,380.125,-0.109083333,0.708333333,2.21,-0.504166667,1.785268976,40.76666667,34.7,45.8,34.6,45,24.86666667,24.2,20.8,23.7,31.7,17.06666667,14.8,20.3,12.8,17.4,20.86666667,25.2,29.5,14.3,19.4,28.43333333,22.2,31,23,32.3,1.3,23.96666667,20.2,25.4,20.5,26.4,15.86666667,14.7,6.3,18.4,23.5,28.06666667,27.5,35.3,22.7,28.8,36.8,31.6,43.1,28.8,39.4,0.003802823,328.168335,1.326333427,1.194999981
1990,Logan_River_10109000,167.275,-0.064666667,-0.116666667,2.48,-0.826666667,1.777579535,24.63333333,20.8,24.6,20.6,24.6,16,10.1,7.7,16.9,20,12.83333333,11.9,13.8,11.2,12.7,12.1,11.6,11,11.6,13.1,19.33333333,16.8,19.1,16.8,20.3,1.2,16.53333333,16.1,15.4,15.7,17.9,10.13333333,8.9,0,13.9,16.4,18,19.6,22.4,14.5,16.5,22.9,21.2,24.3,19.7,23,0.00360719,328.1590088,1.366666698,1.136666679
1991,Logan_River_10109000,252.35,-0.1585,-0.575,0.95,-0.879166667,1.602642407,28.8,20.8,31.3,23.9,31.6,19.7,11.6,17.5,18.1,23.5,13.96666667,9.2,15.1,10.3,14.4,14.8,10.6,13.1,13.4,16.7,21.96666667,16.1,21.3,18.5,23.7,2.4,20.86666667,16.2,22.3,17.1,22,13.7,6.7,9,14,17.5,22.1,18.5,26.1,16.7,21.6,26.13333333,20.7,28.3,20.3,27.3,0.003631496,326.5080078,1.145999908,1.120333385
1992,Logan_River_10109000,131.875,-0.245916667,-0.825,1.65,0.76,1.080967752,18.8,15.6,17.2,22.2,23.9,11.06666667,7.7,2,16.7,18,11.7,8.8,8.8,12.6,13.7,10.7,9.3,5.9,13,14.4,18.13333333,12.3,15.1,18.5,21,5.9,11.2,10.2,7.6,12.8,14.1,8.5,3.5,0,13.5,14.2,16.63333333,18.5,18.8,15.6,17,20.26666667,15.9,16.9,21.1,23.2,0.00440941,328.0406738,0.591666651,0.90466671
1993,Logan_River_10109000,534.375,-0.237583333,-0.65,0.66,1.043333333,1.767607985,42.5,39.8,41.5,40.9,49.7,28.6,22.5,18.1,31.5,38.5,19.56666667,16.4,19.5,17.7,21.2,19.7,15.4,17.8,19,22.7,30.23333333,24.6,29.5,25.9,32.4,2.9,25.1,22.7,25.8,22.7,26.9,19.5,11.6,5.8,24.5,29.6,29.53333333,29.3,36,23.3,28.7,35.23333333,29,35.7,30.3,38.6,0.00450784,327.2310059,1.316666603,1.179333305
1994,Logan_River_10109000,238.225,-0.203916667,-0.825,1.33,-0.493333333,1.518083024,25.3,24.4,26.8,27,31.3,17.76666667,15.5,13.9,21.4,25.5,13.96666667,12.6,15.8,12.4,16.1,15.36666667,13,16,13.7,18.4,22.03333333,19.2,22.4,21.5,25.3,2.9,18.9,15.6,20.8,17.1,20.9,12.4,10,4.8,15.7,20.3,20.93333333,18.2,24.8,18.4,23.4,24.33333333,20.9,26.8,22.8,27.8,0.00396421,327.6686768,1.130666637,1.013000011
1995,Logan_River_10109000,532.6,0.107833333,-0.016666667,-0.79,0.439166667,2.225004953,45.4,33.8,43.1,41.6,50.8,27.06666667,19.7,16,28.7,36.2,19.9,14.6,19.9,16.8,23.2,21.83333333,15.3,19.6,19.9,25.8,30.76666667,21.6,30,28.4,35.5,5.5,23.5,17.5,21.9,21.4,28.2,18.03333333,8.8,4.3,20.7,28.1,30.26666667,24.8,35.1,23,31.9,33.26666667,25.2,33.6,29.8,37.9,0.004318167,327.675,1.470666599,1.669666672
1996,Logan_River_10109000,562.25,-0.085333333,0.675,-1.08,0.683333333,1.793922887,35.1,32.9,37.5,31.8,35.7,23.36666667,16.8,18.4,24.4,26.9,22.3,20.7,25.1,19.1,23.2,19.9,17.9,21.1,17.5,20.7,38.2,33.5,36.7,36.4,42,5.3,27.76666667,25.2,28.8,26.2,29.7,16.8,9.7,8.7,19.2,22.6,30.43333333,31.4,37.1,25,29.1,41.6,38.3,42.2,40.9,43.5,0.003757587,329.1516602,1.60466671,0.802000046
1997,Logan_River_10109000,736.75,0.024333333,-0.733333333,0.02,1.316666667,1.42515423,63.86666667,67.7,68.7,60.4,62.9,39.43333333,30.7,28.6,44,45,31.06666667,29.6,33.4,26.8,29.5,28.96666667,29.4,29.8,25.9,28.4,42.3,33.7,36,42.1,46.3,10.3,36.4,35.5,38.1,32.7,35.7,29.4,23.4,17.2,33.3,35.5,35.9,38.1,40.6,30.5,33.3,53.26666667,51.2,53.9,50.1,54.5,0.004149853,327.509668,1.171666718,0.811333275
