Year,Basin,Streamflow,AMO,SOI,NAO,PDO,WIND_mean,SNOTEL_SWE_mean_0,SNOTEL_SWE_M_0,SNOTEL_SWE_A_0,SNOTEL_PA_M_0,SNOTEL_PA_A_0,SWE/PA,SNOTEL_SWE_mean_1,SNOTEL_SWE_M_1,SNOTEL_SWE_A_1,SNOTEL_PA_M_1,SNOTEL_PA_A_1,SWE/PA,SNOTEL_SWE_mean_2,SNOTEL_SWE_M_2,SNOTEL_SWE_A_2,SNOTEL_PA_M_2,SNOTEL_PA_A_2,SWE/PA,SNOTEL_SWE_mean_3,SNOTEL_SWE_M_3,SNOTEL_SWE_A_3,SNOTEL_PA_M_3,SNOTEL_PA_A_3,SNOTEL_SWE_mean_4,SNOTEL_SWE_M_4,SNOTEL_SWE_A_4,SNOTEL_PA_M_4,SNOTEL_PA_A_4,SNOTEL_SWE_mean_5,SNOTEL_SWE_M_5,SNOTEL_SWE_A_5,SNOTEL_PA_M_5,SNOTEL_PA_A_5,SNOTEL_SWE_mean_6,SNOTEL_SWE_M_6,SNOTEL_SWE_A_6,SNOTEL_PA_M_6,SNOTEL_PA_A_6,SNOTEL_SWE_mean_7,SNOTEL_SWE_M_7,SNOTEL_SWE_A_7,SNOTEL_PA_M_7,SNOTEL_PA_A_7,SNOTEL_SWE_mean_8,SNOTEL_SWE_M_8,SNOTEL_SWE_A_8,SNOTEL_PA_M_8,SNOTEL_PA_A_8,SPFH_mean,TMP_mean,UGRD_mean,VGRD_mean
1981,Oak_Creek_09504500,39.125,-0.101666667,0.241666667,-0.88,0.838333333,2.318900904,5.233333333,0,0,4.9,10.5,0,7.733333333,1.3,2.8,7.3,12.8,0.21875,6.7,1.2,1,6.8,12.4,0.080645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003587078,320.0180664,1.499444326,1.76888895
1982,Oak_Creek_09504500,36.775,-0.237833333,-0.875,1.44,-0.2575,3.321805108,12.93333333,8.2,2.9,15.7,23.5,0.123404255,17.73333333,10.2,10.6,18.7,27.4,0.386861314,13.43333333,8,3.1,16.6,23.8,0.130252101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003655761,318.1036174,2.053055445,2.611389001
1983,Oak_Creek_09504500,106.375,-0.09625,-0.758333333,0.47,1.248333333,2.246833903,18.7,11.3,9.2,20.8,27.1,0.339483395,23.73333333,13.3,15.6,23.8,32.1,0.485981308,16,7.7,7.1,19,25.1,0.282868526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003758722,318.6905518,0.964166721,2.029444536
1984,Oak_Creek_09504500,21.35,-0.233416667,0.141666667,0.79,0.603333333,2.139289086,5.9,0,0,8.1,8.9,0,8.033333333,0,0,10.6,11.7,0,6.233333333,0,0,9,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003669045,316.2852783,1.228888909,1.751111031
1985,Oak_Creek_09504500,67.575,-0.29275,0.283333333,-1.29,0.026666667,2.348180687,14.43333333,11.3,2.7,18.3,21.3,0.126760563,17.1,11.5,8.3,18.5,23.5,0.353191489,15.3,12.7,4,20.1,21.8,0.183486239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003207261,315.5836182,1.376388868,1.902499994
1986,Oak_Creek_09504500,51.725,-0.3005,-0.083333333,1.28,1.0075,2.844411277,9.566666667,0,0,12.7,17.6,0,9.466666667,0,0,12.7,17.1,0,8,0,0,11.2,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003775939,318.4708252,1.782777786,2.216388702
1987,Oak_Creek_09504500,33.675,0.040666667,-0.933333333,-1.19,1.136666667,1.696922081,11.1,8.9,6.5,13.1,16.3,0.398773006,11.93333333,5.3,5.7,15.6,18.3,0.31147541,10.7,6.9,7,12.8,16.1,0.434782609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003461361,319.7069499,1.146111012,1.251388868
1988,Oak_Creek_09504500,74.725,-0.031166667,0.816666667,0.12,-0.038333333,2.226228553,12.5,4,0,17.8,17.8,0,11.53333333,3.4,0,15.9,16.1,0,12.33333333,4,0,16.6,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003532367,318.8508504,1.488055547,1.655833403
1989,Oak_Creek_09504500,21.575,-0.109083333,0.708333333,2.21,-0.504166667,2.726702589,6.933333333,4,0,9.9,13.1,0,7.7,4.1,0,11.3,14,0,5.833333333,3.4,0,8.4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003557406,318.5250041,1.903611183,1.952222188
1990,Oak_Creek_09504500,24.375,-0.064666667,-0.116666667,2.48,-0.826666667,2.871725049,6.7,6.9,0,9.4,12.3,0,6.7,4.3,0.5,9,12.7,0.039370079,7.9,6.3,0.8,11.1,13.6,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003695589,319.8841756,2.206666629,1.837777774
